// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
03327,,,,,,,,,,,,,,1.974623,-8.213829,5.648990,-0.000000,0.000000,20.674886,-0.010254,0.525391,-0.748779,0.058363,-0.246459,0.169708,,0.444470,0.875100,0.191433,-0.434252,0.397400,-0.808392,-0.783500,0.276176,0.556647,,,0.000000,,,,0.00,,,
03328,,,,,,,,,,,,,,1.970472,-8.313670,5.848561,0.000000,0.000000,0.541322,-0.012451,0.525391,-0.753174,0.019622,-0.083140,0.058509,99881.0000,0.444144,0.875683,0.189513,-0.443165,0.398548,-0.802972,-0.778679,0.272649,0.565085,,,0.000000,,,,0.00,,,
03329,,,,,,,,,,,,,,2.044996,-8.242701,5.905016,-0.108379,0.142222,0.529524,-0.014648,0.523193,-0.750977,0.020371,-0.082436,0.059065,,0.436075,0.879414,0.190968,-0.440374,0.393598,-0.806940,-0.784799,0.267789,0.558909,,,0.000000,,,,0.00,,,
03330,,,,,,,,,,,,,,2.104533,-8.251423,5.871366,-0.060558,0.168551,0.529260,-0.019043,0.523193,-0.750977,0.020968,-0.082523,0.058729,99883.0000,0.434342,0.879950,0.192444,-0.440458,0.393849,-0.806771,-0.785712,0.265651,0.558646,,,0.000000,,,,0.00,,,
03331,,,,,,,,,,,,,,2.094578,-8.269006,5.894962,-0.083337,0.139751,0.554944,-0.016846,0.523193,-0.753174,0.020863,-0.082694,0.058974,,0.432732,0.880304,0.194443,-0.440440,0.394627,-0.806401,-0.786610,0.263315,0.558488,,,0.000000,,,,0.00,,,
03332,,,,,,,,,,,,,,2.062755,-8.199335,5.914036,-0.154172,0.132063,0.503254,-0.023438,0.518555,-0.748535,0.020554,-0.081988,0.059174,99892.0000,0.431473,0.880611,0.195845,-0.439967,0.394935,-0.806508,-0.787566,0.261821,0.557844,,,0.000000,,,,0.00,,,
03333,,,,,,,,,,,,,,2.091635,-8.297576,5.942173,-0.128435,0.111883,0.603890,-0.019043,0.523193,-0.753174,0.020864,-0.082956,0.059467,,0.430542,0.880775,0.197152,-0.439668,0.395430,-0.806429,-0.788242,0.260520,0.557498,,,0.000000,,,,0.00,,,
03334,,,,,,,,,,,,,,2.100034,-8.227025,5.984097,-0.202267,0.155087,0.571845,-0.023438,0.527588,-0.755615,0.020968,-0.082241,0.059892,99880.0000,0.429760,0.881024,0.197747,-0.438878,0.395208,-0.806968,-0.789109,0.260016,0.556507,,,0.000000,,,,0.00,,,
03335,,,,,,,,,,,,,,2.107394,-8.191276,5.984084,-0.211998,0.162477,0.544727,-0.021240,0.523193,-0.753174,0.021058,-0.081887,0.059881,,0.429567,0.880928,0.198590,-0.439355,0.396013,-0.806313,-0.788948,0.259114,0.557154,,,0.000000,,,,0.00,,,
03336,,,,,,,,,,,,,,2.135774,-8.176186,5.950188,-0.187458,0.185530,0.519144,-0.023438,0.527588,-0.750977,0.021347,-0.081749,0.059524,99884.0000,0.429197,0.881064,0.198786,-0.439045,0.395851,-0.806562,-0.789322,0.258898,0.556725,,,0.000000,,,,0.00,,,
