// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
03327,,,,,,,,,,,,,,9.670692,0.699528,-1.370816,0.000000,0.000000,-0.020305,-0.846924,0.145996,0.393799,0.096707,0.006996,-0.013704,,0.070541,0.140403,0.987578,0.594236,-0.801111,0.071448,0.801192,0.581814,-0.139943,,,0.000000,,,,0.00,,,
03328,,,,,,,,,,,,,,9.659944,0.671780,-1.340789,0.006529,0.029363,-0.037074,-0.849121,0.148193,0.391357,0.096599,0.006719,-0.013410,99883.0000,0.070395,0.139585,0.987705,0.595156,-0.800493,0.070711,0.800521,0.582861,-0.139425,,,0.000000,,,,0.00,,,
03329,,,,,,,,,,,,,,9.665576,0.730943,-1.383489,0.008199,-0.042157,-0.021373,-0.853271,0.145996,0.391357,0.096656,0.007310,-0.013832,,0.070444,0.139622,0.987696,0.595202,-0.800460,0.070704,0.800483,0.582897,-0.139491,,,0.000000,,,,0.00,,,
03330,,,,,,,,,,,,,,9.644063,0.675736,-1.323427,0.022474,0.033672,-0.054901,-0.853271,0.147949,0.391357,0.096441,0.006760,-0.013232,99886.0000,0.070505,0.139564,0.987700,0.595213,-0.800459,0.070619,0.800469,0.582913,-0.139506,,,0.000000,,,,0.00,,,
03331,,,,,,,,,,,,,,9.665461,0.730238,-1.384665,0.008170,-0.042642,-0.021375,-0.851318,0.150146,0.395752,0.096655,0.007304,-0.013843,,0.070591,0.139580,0.987691,0.595237,-0.800445,0.070576,0.800443,0.582929,-0.139588,,,0.000000,,,,0.00,,,
03332,,,,,,,,,,,,,,9.665393,0.729614,-1.385471,0.008152,-0.043158,-0.021377,-0.853027,0.141602,0.393799,0.096654,0.007300,-0.013851,99878.0000,0.070705,0.139510,0.987693,0.595250,-0.800446,0.070450,0.800424,0.582943,-0.139638,,,0.000000,,,,0.00,,,
03333,,,,,,,,,,,,,,9.691183,0.740115,-1.366536,0.032725,-0.037413,0.002186,-0.853271,0.143799,0.398193,0.096912,0.007409,-0.013661,,0.070859,0.139431,0.987693,0.595262,-0.800451,0.070293,0.800401,0.582955,-0.139717,,,0.000000,,,,0.00,,,
03334,,,,,,,,,,,,,,9.660082,0.673291,-1.378521,-0.017379,0.005109,-0.031558,-0.853516,0.150146,0.393555,0.096601,0.006740,-0.013782,99876.0000,0.070998,0.139473,0.987677,0.595291,-0.800434,0.070240,0.800367,0.582969,-0.139857,,,0.000000,,,,0.00,,,
03335,,,,,,,,,,,,,,9.655022,0.703809,-1.391314,-0.008557,-0.028254,-0.032622,-0.851074,0.143799,0.398193,0.096550,0.007045,-0.013911,,0.071110,0.139386,0.987682,0.595291,-0.800447,0.070104,0.800358,0.582972,-0.139895,,,0.000000,,,,0.00,,,
03336,,,,,,,,,,,,,,9.613027,0.689921,-1.359467,0.006692,-0.004564,-0.079529,-0.849121,0.150146,0.397949,0.096131,0.006902,-0.013591,99883.0000,0.071206,0.139415,0.987671,0.595295,-0.800446,0.070069,0.800346,0.582966,-0.139989,,,0.000000,,,,0.00,,,
