// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
03327,,,,,,,,,,,,,,-9.689686,0.951754,1.235254,-0.000000,0.000000,0.001675,0.867676,0.119873,-0.510742,-0.096898,0.009518,0.012343,,-0.069811,-0.142649,-0.987308,0.446260,-0.889633,0.096982,-0.892176,-0.433825,0.125764,,,0.000000,,,,0.00,,,
03328,,,,,,,,,,,,,,-9.668004,0.954312,1.273501,-0.025214,-0.032897,-0.014672,0.859131,0.124023,-0.504395,-0.096681,0.009543,0.012726,99930.0000,-0.071915,-0.141121,-0.987377,0.440235,-0.892785,0.095537,-0.894998,-0.427808,0.126331,,,0.000000,,,,0.00,,,
03329,,,,,,,,,,,,,,-9.686611,0.913338,1.256586,-0.025120,0.014350,-0.002347,0.863281,0.124023,-0.510986,-0.096867,0.009134,0.012557,,-0.072130,-0.141167,-0.987355,0.439940,-0.892932,0.095528,-0.895126,-0.427486,0.126512,,,0.000000,,,,0.00,,,
03330,,,,,,,,,,,,,,-9.676963,0.933828,1.267666,-0.025235,-0.011073,-0.008512,0.863525,0.121826,-0.515137,-0.096771,0.009338,0.012668,99938.0000,-0.072306,-0.141050,-0.987359,0.439726,-0.893054,0.095376,-0.895217,-0.427270,0.126596,,,0.000000,,,,0.00,,,
03331,,,,,,,,,,,,,,-9.635264,0.909945,1.279119,-0.047587,-0.000067,-0.050505,0.865723,0.119873,-0.512939,-0.096353,0.009102,0.012785,,-0.072482,-0.141038,-0.987347,0.439510,-0.893166,0.095320,-0.895309,-0.427040,0.126726,,,0.000000,,,,0.00,,,
03332,,,,,,,,,,,,,,-9.638500,0.933113,1.231336,0.007011,-0.000357,-0.051155,0.865723,0.119873,-0.510742,-0.096385,0.009335,0.012308,99936.0000,-0.072648,-0.140961,-0.987346,0.439373,-0.893246,0.095198,-0.895362,-0.426897,0.126827,,,0.000000,,,,0.00,,,
03333,,,,,,,,,,,,,,-9.648376,0.993761,1.299256,-0.025358,-0.082297,-0.027016,0.865479,0.124023,-0.512939,-0.096484,0.009939,0.012989,,-0.072783,-0.140927,-0.987341,0.439031,-0.893418,0.095158,-0.895519,-0.426548,0.126897,,,0.000000,,,,0.00,,,
03334,,,,,,,,,,,,,,-9.656518,0.905317,1.245882,-0.014648,0.019610,-0.034162,0.859375,0.119873,-0.515137,-0.096566,0.009058,0.012453,99936.0000,-0.072973,-0.140794,-0.987346,0.438819,-0.893541,0.094985,-0.895608,-0.426335,0.126988,,,0.000000,,,,0.00,,,
03335,,,,,,,,,,,,,,-9.697265,0.942538,1.268525,-0.014046,-0.017809,0.012483,0.863525,0.121826,-0.512939,-0.096973,0.009430,0.012678,,-0.073171,-0.140753,-0.987337,0.438612,-0.893653,0.094892,-0.895693,-0.426114,0.127126,,,0.000000,,,,0.00,,,
03336,,,,,,,,,,,,,,-9.666968,0.950313,1.284312,-0.025232,-0.036198,-0.014684,0.863525,0.119873,-0.510742,-0.096670,0.009508,0.012835,99930.0000,-0.073386,-0.140698,-0.987329,0.438467,-0.893737,0.094771,-0.895746,-0.425956,0.127280,,,0.000000,,,,0.00,,,
