// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
34893,,,,,,,,,,,,,,0.204130,-9.675846,1.512973,0.060157,-0.046370,-0.017434,0.366455,0.909424,-0.309326,0.002050,-0.096761,0.015112,,0.932873,0.359817,0.016725,-0.042616,0.156355,-0.986781,-0.357676,0.919829,0.161193,,,0.000000,,,,0.00,,,
34894,,,,,,,,,,,,,,0.232501,-9.705312,1.474485,0.104490,-0.079047,0.005870,0.368652,0.909424,-0.311523,0.002332,-0.097056,0.014726,99887.0000,0.932953,0.359617,0.016571,-0.042863,0.156664,-0.986721,-0.357438,0.919854,0.161575,,,0.000000,,,,0.00,,,
34895,,,,,,,,,,,,,,0.229751,-9.680758,1.474026,0.103568,-0.080172,-0.018533,0.364014,0.913818,-0.309326,0.002304,-0.096810,0.014724,,0.933055,0.359356,0.016462,-0.043061,0.157005,-0.986659,-0.357146,0.919898,0.161969,,,0.000000,,,,0.00,,,
34896,,,,,,,,,,,,,,0.182160,-9.687461,1.448759,0.070618,-0.123665,-0.016836,0.368652,0.909424,-0.311523,0.001827,-0.096876,0.014476,99882.0000,0.933167,0.359070,0.016346,-0.043202,0.157188,-0.986623,-0.356836,0.919979,0.162196,,,0.000000,,,,0.00,,,
34897,,,,,,,,,,,,,,0.183886,-9.735379,1.458082,0.072259,-0.123690,0.031951,0.366455,0.909424,-0.313965,0.001842,-0.097354,0.014578,,0.933261,0.358830,0.016304,-0.043245,0.157300,-0.986604,-0.356588,0.920053,0.162320,,,0.000000,,,,0.00,,,
34898,,,,,,,,,,,,,,0.172916,-9.787403,1.446505,0.069473,-0.147070,0.081203,0.364258,0.905029,-0.306885,0.001734,-0.097875,0.014459,99887.0000,0.933348,0.358606,0.016208,-0.043340,0.157392,-0.986585,-0.356346,0.920125,0.162444,,,0.000000,,,,0.00,,,
34899,,,,,,,,,,,,,,0.152157,-9.810292,1.464676,0.046223,-0.143061,0.106367,0.370850,0.907227,-0.306885,0.001530,-0.098104,0.014639,,0.933412,0.358447,0.016075,-0.043518,0.157568,-0.986549,-0.356158,0.920157,0.162675,,,0.000000,,,,0.00,,,
34900,,,,,,,,,,,,,,0.188962,-9.763952,1.432733,0.092495,-0.152659,0.056018,0.364258,0.905029,-0.306885,0.001903,-0.097640,0.014320,99887.0000,0.933497,0.358235,0.015808,-0.043783,0.157625,-0.986528,-0.355901,0.920229,0.162827,,,0.000000,,,,0.00,,,
34901,,,,,,,,,,,,,,0.197778,-9.735701,1.450616,0.095961,-0.128604,0.031171,0.366455,0.907227,-0.309326,0.001992,-0.097358,0.014500,,0.933579,0.358035,0.015529,-0.044040,0.157622,-0.986517,-0.355655,0.920308,0.162920,,,0.000000,,,,0.00,,,
34902,,,,,,,,,,,,,,0.229891,-9.756650,1.463073,0.125274,-0.108797,0.054334,0.364258,0.907227,-0.309326,0.002312,-0.097567,0.014629,99887.0000,0.933648,0.357867,0.015256,-0.044277,0.157572,-0.986514,-0.355444,0.920382,0.162962,,,0.000000,,,,0.00,,,
34903,,,,,,,,,,,,,,0.212126,-9.712608,1.434845,0.118777,-0.133633,0.005997,0.366455,0.907227,-0.309326,0.002132,-0.097126,0.014350,,0.933685,0.357778,0.015065,-0.044433,0.157495,-0.986520,-0.355328,0.920429,0.162948,,,0.000000,,,,0.00,,,
