// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
34893,,,,,,,,,,,,,,9.788781,0.049396,0.723927,-0.023870,0.047841,0.002804,-1.115967,-0.113525,-0.331055,0.097888,0.000500,0.007234,,0.067322,0.029493,0.997295,-0.395410,0.918505,-0.000471,-0.916034,-0.394308,0.073498,,,0.000000,,,,0.00,,,
34894,,,,,,,,,,,,,,9.768318,-0.000275,0.710005,0.007719,0.008804,-0.018607,-1.115967,-0.109131,-0.333252,0.097684,0.000004,0.007093,99737.0000,0.067399,0.029680,0.997285,-0.395401,0.918508,-0.000614,-0.916032,-0.394286,0.073642,,,0.000000,,,,0.00,,,
34895,,,,,,,,,,,,,,9.790305,-0.011919,0.713892,0.010844,-0.000768,0.003612,-1.122559,-0.106934,-0.331299,0.097904,-0.000111,0.007132,,0.067451,0.029899,0.997274,-0.395422,0.918499,-0.000792,-0.916020,-0.394291,0.073777,,,0.000000,,,,0.00,,,
34896,,,,,,,,,,,,,,9.811380,0.024595,0.682794,0.027046,0.047899,0.022300,-1.111572,-0.113525,-0.335449,0.098114,0.000255,0.006819,99738.0000,0.067539,0.030139,0.997261,-0.395436,0.918493,-0.000978,-0.916007,-0.394287,0.073952,,,0.000000,,,,0.00,,,
34897,,,,,,,,,,,,,,9.767591,-0.000474,0.738330,-0.016261,0.004002,-0.017246,-1.115967,-0.109131,-0.333252,0.097676,0.000005,0.007377,,0.067575,0.030379,0.997252,-0.395456,0.918484,-0.001183,-0.915996,-0.394289,0.074080,,,0.000000,,,,0.00,,,
34898,,,,,,,,,,,,,,9.768352,-0.050550,0.774871,-0.029263,-0.054262,-0.013714,-1.109375,-0.111328,-0.337402,0.097684,-0.000499,0.007741,99737.0000,0.067662,0.030570,0.997240,-0.395465,0.918480,-0.001324,-0.915986,-0.394284,0.074236,,,0.000000,,,,0.00,,,
34899,,,,,,,,,,,,,,9.800278,0.002942,0.715314,0.006999,0.021155,0.013637,-1.115967,-0.111328,-0.335449,0.098003,0.000036,0.007147,,0.067715,0.030752,0.997231,-0.395495,0.918467,-0.001468,-0.915969,-0.394300,0.074357,,,0.000000,,,,0.00,,,
34900,,,,,,,,,,,,,,9.810990,0.018025,0.688581,0.027049,0.047896,0.022300,-1.113770,-0.111328,-0.331055,0.098111,0.000189,0.006876,99735.0000,0.067825,0.030983,0.997216,-0.395498,0.918466,-0.001637,-0.915959,-0.394285,0.074549,,,0.000000,,,,0.00,,,
34901,,,,,,,,,,,,,,9.745886,-0.045024,0.776952,-0.032462,-0.044687,-0.035933,-1.118164,-0.109131,-0.335449,0.097460,-0.000442,0.007762,,0.067902,0.031201,0.997204,-0.395508,0.918461,-0.001806,-0.915949,-0.394279,0.074705,,,0.000000,,,,0.00,,,
34902,,,,,,,,,,,,,,9.811594,-0.033354,0.726814,0.014037,-0.010401,0.025831,-1.115967,-0.111328,-0.339600,0.098116,-0.000329,0.007262,99730.0000,0.067971,0.031338,0.997195,-0.395522,0.918455,-0.001904,-0.915938,-0.394283,0.074823,,,0.000000,,,,0.00,,,
34903,,,,,,,,,,,,,,9.821119,0.035399,0.688506,0.023197,0.069800,0.032325,-1.118164,-0.109131,-0.333252,0.098212,0.000362,0.006879,,0.068026,0.031536,0.997185,-0.395525,0.918453,-0.002064,-0.915932,-0.394271,0.074952,,,0.000000,,,,0.00,,,
34904,,,,,,,,,,,,,,9.831017,0.060378,0.709662,-0.004545,0.086911,0.043711,-1.113770,-0.109131,-0.333252,0.098311,0.000613,0.007087,99739.0000,0.068142,0.031786,0.997169,-0.395546,0.918444,-0.002247,-0.915915,-0.394273,0.075157,,,0.000000,,,,0.00,,,
34905,,,,,,,,,,,,,,9.810431,0.010146,0.696658,0.027032,0.047744,0.022300,-1.111572,-0.111328,-0.331055,0.098105,0.000112,0.006955,,0.068268,0.032060,0.997152,-0.395601,0.918419,-0.002444,-0.915882,-0.394308,0.075382,,,0.000000,,,,0.00,,,
34906,,,,,,,,,,,,,,9.756021,-0.036706,0.757343,-0.012420,-0.018066,-0.027271,-1.111572,-0.106934,-0.339600,0.097561,-0.000356,0.007561,99736.0000,0.068405,0.032365,0.997133,-0.395603,0.918418,-0.002671,-0.915871,-0.394286,0.075628,,,0.000000,,,,0.00,,,
