// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
47949,,,,,,,,,,,,,,9.778901,-0.513586,0.899071,0.000000,-0.000000,0.020878,-0.710449,-0.405273,-0.003418,0.097785,-0.005178,0.009010,1.000000,0.000262,-0.000209,-0.000403,,-0.062967,0.084866,0.994401,-0.991530,-0.118726,-0.052653,0.113593,-0.989294,0.091623,,,0.000000,,,,0.00,,,
47950,,,,,,,,,,,,,,9.799508,-0.512687,0.851631,0.034222,0.078621,0.036735,-0.703613,-0.409668,-0.000977,0.097991,-0.005172,0.008532,1.000000,0.000527,-0.000190,-0.000415,100134.0000,-0.058137,0.087412,0.994474,-0.991327,-0.122661,-0.047171,0.117860,-0.988592,0.093785,,,0.000000,,,,0.00,,,
47951,,,,,,,,,,,,,,9.830006,-0.294591,0.852339,-0.174583,0.052226,0.056916,-0.708008,-0.407471,-0.007812,0.098298,-0.002989,0.008534,1.000000,0.000632,-0.000128,-0.000383,,-0.057347,0.087253,0.994534,-0.991222,-0.123843,-0.046290,0.119127,-0.988458,0.093589,,,0.000000,,,,0.00,,,
47952,,,,,,,,,,,,,,9.886614,-0.360125,0.889452,-0.099698,0.028169,0.119846,-0.708252,-0.405273,-0.005615,0.098864,-0.003643,0.008899,1.000000,0.000216,-0.000050,-0.000407,100142.0000,-0.056517,0.087257,0.994581,-0.991217,-0.124196,-0.045430,0.119559,-0.988414,0.093510,,,0.000000,,,,0.00,,,
47953,,,,,,,,,,,,,,9.800755,-0.485345,0.929205,0.042306,-0.001607,0.043884,-0.712402,-0.409668,-0.005615,0.098006,-0.004895,0.009283,1.000000,-0.000085,0.000093,-0.000434,,-0.055679,0.087549,0.994603,-0.991286,-0.123952,-0.044583,0.119380,-0.988418,0.093687,,,0.000000,,,,0.00,,,
47954,,,,,,,,,,,,,,9.721454,-0.466232,0.974256,0.041515,-0.052983,-0.031651,-0.712402,-0.409668,-0.001221,0.097213,-0.004706,0.009737,1.000000,0.000316,0.000045,-0.000421,100138.0000,-0.054853,0.087741,0.994632,-0.991257,-0.124503,-0.043684,0.120002,-0.988332,0.093803,,,0.000000,,,,0.00,,,
47955,,,,,,,,,,,,,,9.807703,-0.323851,0.935499,-0.100489,-0.023208,0.044312,-0.710205,-0.409668,-0.010010,0.098076,-0.003281,0.009355,1.000000,0.000499,-0.000016,-0.000385,,-0.054086,0.087805,0.994668,-0.991179,-0.125422,-0.042825,0.120993,-0.988210,0.093814,,,0.000000,,,,0.00,,,
47956,,,,,,,,,,,,,,9.846719,-0.348939,0.878031,-0.076758,0.041660,0.078871,-0.699463,-0.407471,-0.001221,0.098466,-0.003527,0.008775,1.000000,0.000225,0.000043,-0.000362,100148.0000,-0.053374,0.087983,0.994691,-0.991163,-0.125803,-0.042057,0.121435,-0.988146,0.093921,,,0.000000,,,,0.00,,,
47957,,,,,,,,,,,,,,9.861505,-0.475909,0.802256,0.046631,0.136772,0.091781,-0.705566,-0.413818,-0.007568,0.098614,-0.004800,0.008007,1.000000,0.000073,0.000150,-0.000407,,-0.052604,0.088382,0.994697,-0.991189,-0.125876,-0.041234,0.121564,-0.988101,0.094224,,,0.000000,,,,0.00,,,
47958,,,,,,,,,,,,,,9.819553,-0.505403,0.902154,0.098397,0.042509,0.060582,-0.707764,-0.416016,-0.005371,0.098195,-0.005099,0.009002,1.000000,0.000201,0.000191,-0.000444,100142.0000,-0.051764,0.088864,0.994698,-0.991186,-0.126195,-0.040307,0.121944,-0.988017,0.094613,,,0.000000,,,,0.00,,,
