// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
47949,,,,,,,,,,,,,,9.610239,-0.360769,-1.910209,0.000000,0.000000,-0.007804,-0.704834,0.204346,0.499756,0.096103,-0.003680,-0.019086,0.999996,0.002379,-0.000259,-0.001224,,0.191933,0.049618,0.980153,0.425418,-0.904218,-0.037531,0.884410,0.424179,-0.194657,,,0.000000,,,,0.00,,,
47950,,,,,,,,,,,,,,9.671042,-0.331262,-1.962592,-0.000000,0.000000,0.061043,-0.709229,0.208496,0.497314,0.096708,-0.003372,-0.019630,0.999997,0.002182,-0.000031,-0.001052,100203.0000,0.192959,0.058814,0.979442,0.445941,-0.894411,-0.034146,0.874016,0.443363,-0.198813,,,0.000000,,,,0.00,,,
47951,,,,,,,,,,,,,,9.698369,-0.268106,-1.668870,0.280915,0.040165,0.027782,-0.696533,0.206543,0.497559,0.096980,-0.002736,-0.016699,0.999997,0.002146,0.000048,-0.000933,,0.191762,0.055094,0.979894,0.439640,-0.897469,-0.035577,0.877464,0.437623,-0.196322,,,0.000000,,,,0.00,,,
47952,,,,,,,,,,,,,,9.700977,-0.093006,-1.485226,0.513438,-0.027466,-0.011712,-0.703125,0.214844,0.495117,0.097009,-0.000983,-0.014856,0.999998,0.001783,0.000026,-0.000820,100200.0000,0.190994,0.056541,0.979961,0.443080,-0.895812,-0.034670,0.875901,0.440823,-0.196147,,,0.000000,,,,0.00,,,
47953,,,,,,,,,,,,,,10.039094,-0.946818,-3.008842,-1.144011,0.083000,0.647583,-0.711426,0.210693,0.492920,0.100343,-0.009526,-0.030231,0.999997,0.001922,0.001235,-0.001152,,0.188685,0.057099,0.980376,0.447039,-0.893869,-0.033977,0.874388,0.444677,-0.194185,,,0.000000,,,,0.00,,,
47954,,,,,,,,,,,,,,10.402987,-1.828868,-4.756370,-3.080600,0.078633,1.353855,-0.719727,0.214844,0.477539,0.103706,-0.018268,-0.048271,0.999962,0.006027,0.005747,-0.002593,100201.0000,0.176305,0.056544,0.982710,0.458505,-0.888146,-0.031156,0.871028,0.456070,-0.182510,,,0.000000,,,,0.00,,,
47955,,,,,,,,,,,,,,10.060978,-0.764960,-2.530496,-0.784838,0.042504,0.559915,-0.724121,0.221191,0.464111,0.100368,-0.007606,-0.026253,0.999885,0.012231,0.008505,-0.002723,,0.166702,0.053090,0.984577,0.480364,-0.876407,-0.034075,0.861081,0.478636,-0.171601,,,0.000000,,,,0.00,,,
47956,,,,,,,,,,,,,,9.341371,1.171816,0.480721,2.469600,-0.301512,-0.720156,-0.736816,0.229492,0.441895,0.093480,0.011407,0.004219,0.999914,0.010302,0.007560,-0.002839,100195.0000,0.150959,0.050659,0.987241,0.498930,-0.866057,-0.031851,0.853393,0.497373,-0.156014,,,0.000000,,,,0.00,,,
47957,,,,,,,,,,,,,,9.501512,0.214770,-0.390470,1.167054,0.093934,-0.373120,-0.740967,0.229492,0.439697,0.094995,0.001983,-0.004440,0.999959,0.006726,0.005778,-0.002038,,0.140428,0.048907,0.988882,0.510965,-0.859075,-0.030074,0.848053,0.509507,-0.145628,,,0.000000,,,,0.00,,,
47958,,,,,,,,,,,,,,9.609063,0.563045,-0.279613,1.359976,-0.164829,-0.281054,-0.743408,0.237793,0.432861,0.096086,0.005498,-0.003187,0.999973,0.005686,0.004398,-0.001554,100200.0000,0.131385,0.047041,0.990215,0.521005,-0.853075,-0.028602,0.843381,0.519664,-0.136590,,,0.000000,,,,0.00,,,
47959,,,,,,,,,,,,,,9.272211,0.541476,0.163979,1.542100,0.062053,-0.652344,-0.753906,0.239990,0.430420,0.092730,0.005331,0.001432,0.999993,0.002884,0.002408,-0.000857,,0.118335,0.046655,0.991877,0.526321,-0.849980,-0.022811,0.842011,0.524745,-0.125138,,,0.000000,,,,0.00,,,
47960,,,,,,,,,,,,,,9.012038,0.344099,0.353053,1.543473,0.316445,-0.925763,-0.751709,0.233643,0.432861,0.090121,0.003407,0.003536,1.000000,-0.000552,-0.000080,-0.000402,100195.0000,0.118046,0.047423,0.991875,0.525487,-0.850521,-0.021875,0.842573,0.523799,-0.125321,,,0.000000,,,,0.00,,,
47961,,,,,,,,,,,,,,8.861099,0.171627,0.279143,1.241717,0.422314,-1.043077,-0.747559,0.231445,0.439453,0.088603,0.001729,0.003020,0.999989,-0.003879,-0.002656,0.000017,,0.105608,0.049144,0.993193,0.519127,-0.854600,-0.012913,0.848148,0.516957,-0.115764,,,0.000000,,,,0.00,,,
47962,,,,,,,,,,,,,,8.873223,0.363261,0.509821,1.603075,0.405553,-1.072502,-0.743164,0.227295,0.455078,0.088699,0.003727,0.005575,0.999961,-0.006731,-0.005654,0.000659,100198.0000,0.115908,0.053791,0.991802,0.507524,-0.861546,-0.012585,0.853806,0.504822,-0.127161,,,0.000000,,,,0.00,,,
47963,,,,,,,,,,,,,,8.905220,-0.040549,-0.164673,0.760381,0.430820,-0.948951,-0.724121,0.218994,0.479492,0.089062,-0.000317,-0.000859,0.999915,-0.009520,-0.008809,0.001118,,0.111712,0.056985,0.992105,0.490805,-0.871254,-0.005222,0.864078,0.487514,-0.125298,,,0.000000,,,,0.00,,,
