// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
61797,,,,,,,,,,,,,,2.325717,9.283124,-2.083833,-0.000000,-0.000000,-0.018418,-1.929688,-1.010010,0.839600,0.023263,0.092827,-0.020852,,-0.902820,0.358471,0.237518,0.296266,0.118177,0.947766,0.311677,0.926031,-0.212895,,,0.000000,,,,0.00,,,
61798,,,,,,,,,,,,,,2.388419,9.309716,-2.085350,-0.044718,0.037753,0.021976,-1.932129,-1.003418,0.843994,0.023891,0.093092,-0.020869,99879.0000,-0.902652,0.359033,0.237306,0.296512,0.119165,0.947565,0.311929,0.925686,-0.214022,,,0.000000,,,,0.00,,,
61799,,,,,,,,,,,,,,2.412883,9.246618,-2.082965,-0.087114,0.038625,-0.032523,-1.943359,-1.001221,0.853027,0.024134,0.092461,-0.020846,,-0.902643,0.359125,0.237201,0.296316,0.118844,0.947667,0.312141,0.925692,-0.213688,,,0.000000,,,,0.00,,,
61800,,,,,,,,,,,,,,2.407354,9.246619,-2.152993,-0.105748,-0.030730,-0.018885,-1.943359,-0.999023,0.855225,0.024078,0.092462,-0.021544,99879.0000,-0.902635,0.359186,0.237141,0.296175,0.118571,0.947745,0.312298,0.925703,-0.213409,,,0.000000,,,,0.00,,,
61801,,,,,,,,,,,,,,2.409267,9.248114,-2.101740,-0.093111,0.015550,-0.027976,-1.947998,-0.996826,0.859863,0.024100,0.092477,-0.021028,,-0.902666,0.359205,0.236994,0.295967,0.118397,0.947832,0.312407,0.925718,-0.213186,,,0.000000,,,,0.00,,,
61802,,,,,,,,,,,,,,2.443470,9.262280,-2.052906,-0.106169,0.072830,-0.016860,-1.950195,-0.994873,0.868896,0.024436,0.092620,-0.020541,99880.0000,-0.902671,0.359205,0.236974,0.295868,0.118168,0.947892,0.312484,0.925747,-0.212944,,,0.000000,,,,0.00,,,
61803,,,,,,,,,,,,,,2.423936,9.218064,-2.048611,-0.101622,0.062267,-0.064315,-1.952637,-0.992676,0.873291,0.024242,0.092177,-0.020500,,-0.902686,0.359204,0.236918,0.295724,0.117914,0.947968,0.312578,0.925780,-0.212665,,,0.000000,,,,0.00,,,
61804,,,,,,,,,,,,,,2.407512,9.250262,-2.094287,-0.092929,0.015497,-0.027974,-1.957031,-0.994873,0.893799,0.024078,0.092499,-0.020956,99871.0000,-0.902684,0.359235,0.236880,0.295606,0.117662,0.948036,0.312696,0.925800,-0.212404,,,0.000000,,,,0.00,,,
61805,,,,,,,,,,,,,,2.389014,9.206486,-2.065541,-0.082064,0.028074,-0.079974,-1.965820,-0.994873,0.889160,0.023896,0.092060,-0.020669,,-0.902738,0.359185,0.236749,0.295383,0.117443,0.948133,0.312750,0.925848,-0.212117,,,0.000000,,,,0.00,,,
61806,,,,,,,,,,,,,,2.418300,9.220014,-2.089156,-0.113898,0.015855,-0.055220,-1.970215,-0.997070,0.895996,0.024188,0.092195,-0.020907,99876.0000,-0.902802,0.359080,0.236665,0.295188,0.117203,0.948223,0.312750,0.925918,-0.211807,,,0.000000,,,,0.00,,,
61807,,,,,,,,,,,,,,2.476782,9.169881,-2.064972,-0.175725,0.050867,-0.094055,-1.970215,-0.994873,0.905029,0.024770,0.091695,-0.020663,,-0.902863,0.358952,0.236626,0.295043,0.116985,0.948296,0.312711,0.925996,-0.211528,,,0.000000,,,,0.00,,,
61808,,,,,,,,,,,,,,2.412804,9.144879,-2.057610,-0.123801,0.028745,-0.134462,-1.979248,-0.990723,0.905029,0.024126,0.091445,-0.020593,99881.0000,-0.902886,0.358843,0.236704,0.294985,0.116650,0.948355,0.312699,0.926080,-0.211175,,,0.000000,,,,0.00,,,
61809,,,,,,,,,,,,,,2.434053,9.135715,-2.079836,-0.153592,0.011322,-0.133437,-1.977051,-0.990723,0.909424,0.024339,0.091354,-0.020816,,-0.902932,0.358699,0.236745,0.294888,0.116336,0.948423,0.312657,0.926175,-0.210820,,,0.000000,,,,0.00,,,
61810,,,,,,,,,,,,,,2.441111,9.158214,-2.126415,-0.167835,-0.029834,-0.100607,-1.985840,-0.997314,0.918701,0.024408,0.091580,-0.021277,99877.0000,-0.902951,0.358563,0.236880,0.294914,0.116091,0.948445,0.312578,0.926259,-0.210570,,,0.000000,,,,0.00,,,
