// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
61797,,,,,,,,,,,,,,9.806786,-0.466012,-0.201397,-0.000000,0.000000,0.007230,-2.594727,-2.012207,-0.519531,0.098068,-0.004666,-0.002012,,-0.051332,-0.006477,0.998661,-0.959409,0.277988,-0.047512,-0.277308,-0.960563,-0.020484,,,0.000000,,,,0.00,,,
61798,,,,,,,,,,,,,,9.796960,-0.475009,-0.161974,-0.007195,-0.034466,-0.002944,-2.590820,-2.010010,-0.517334,0.097969,-0.004755,-0.001618,99936.0000,-0.051788,-0.006018,0.998640,-0.959723,0.276798,-0.048101,-0.276132,-0.960909,-0.020111,,,0.000000,,,,0.00,,,
61799,,,,,,,,,,,,,,9.840385,-0.467773,-0.194995,-0.006110,-0.001739,0.040737,-2.586426,-2.007812,-0.521729,0.098404,-0.004686,-0.001948,,-0.051641,-0.006100,0.998647,-0.959722,0.276833,-0.047937,-0.276166,-0.960899,-0.020150,,,0.000000,,,,0.00,,,
61800,,,,,,,,,,,,,,9.802868,-0.430636,-0.165861,-0.046714,-0.020035,0.000905,-2.594727,-2.012207,-0.519531,0.098029,-0.004311,-0.001655,99936.0000,-0.051561,-0.006188,0.998651,-0.959741,0.276782,-0.047837,-0.276113,-0.960913,-0.020210,,,0.000000,,,,0.00,,,
61801,,,,,,,,,,,,,,9.840470,-0.465583,-0.195953,-0.006052,-0.001696,0.040737,-2.594971,-2.010010,-0.515381,0.098405,-0.004660,-0.001958,,-0.051482,-0.006236,0.998654,-0.959755,0.276750,-0.047749,-0.276080,-0.960922,-0.020233,,,0.000000,,,,0.00,,,
61802,,,,,,,,,,,,,,9.832676,-0.490791,-0.174710,0.013325,-0.029401,0.033727,-2.592773,-2.010010,-0.515137,0.098327,-0.004911,-0.001746,99931.0000,-0.051431,-0.006268,0.998657,-0.959774,0.276695,-0.047691,-0.276024,-0.960937,-0.020246,,,0.000000,,,,0.00,,,
61803,,,,,,,,,,,,,,9.844585,-0.496144,-0.233122,0.034383,0.024960,0.047057,-2.594971,-2.010010,-0.517334,0.098446,-0.004963,-0.002331,,-0.051397,-0.006286,0.998659,-0.959792,0.276636,-0.047656,-0.275965,-0.960954,-0.020251,,,0.000000,,,,0.00,,,
61804,,,,,,,,,,,,,,9.799210,-0.485859,-0.181951,0.013079,-0.021084,0.000216,-2.590576,-2.014160,-0.515137,0.097992,-0.004860,-0.001821,99935.0000,-0.051356,-0.006278,0.998661,-0.959824,0.276531,-0.047621,-0.275862,-0.960984,-0.020227,,,0.000000,,,,0.00,,,
61805,,,,,,,,,,,,,,9.797198,-0.469608,-0.163347,-0.007132,-0.034409,-0.002944,-2.592773,-2.012207,-0.521729,0.097972,-0.004698,-0.001634,,-0.051313,-0.006287,0.998663,-0.959857,0.276426,-0.047579,-0.275757,-0.961015,-0.020218,,,0.000000,,,,0.00,,,
61806,,,,,,,,,,,,,,9.826019,-0.521908,-0.244029,0.064140,0.028631,0.029957,-2.590820,-2.010010,-0.515137,0.098260,-0.005220,-0.002442,99934.0000,-0.051293,-0.006264,0.998664,-0.959884,0.276333,-0.047567,-0.275666,-0.961041,-0.020187,,,0.000000,,,,0.00,,,
61807,,,,,,,,,,,,,,9.801287,-0.501122,-0.199802,0.033280,-0.007720,0.003376,-2.596924,-2.010010,-0.517578,0.098013,-0.005010,-0.001999,,-0.051309,-0.006244,0.998663,-0.959922,0.276197,-0.047591,-0.275531,-0.961081,-0.020165,,,0.000000,,,,0.00,,,
61808,,,,,,,,,,,,,,9.790482,-0.501980,-0.232499,0.043609,0.023639,-0.006714,-2.592773,-2.007812,-0.521973,0.097905,-0.005021,-0.002325,99935.0000,-0.051295,-0.006258,0.998664,-0.959945,0.276118,-0.047576,-0.275452,-0.961103,-0.020171,,,0.000000,,,,0.00,,,
