// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
63525,,,,,,,,,,,,,,-9.643868,-2.160526,-0.038362,0.000000,0.000000,0.070305,0.989014,-0.132812,0.056885,-0.096435,-0.021619,-0.000417,,0.214842,-0.041399,-0.975771,-0.961614,0.165666,-0.218754,0.170708,0.985313,-0.004218,,,0.000000,,,,0.00,,,
63526,,,,,,,,,,,,,,-9.601233,-2.214049,-0.078153,0.000000,0.000000,0.040829,0.987061,-0.132812,0.052734,-0.096009,-0.022152,-0.000813,99923.0000,0.221208,-0.040931,-0.974367,-0.964130,0.141111,-0.224812,0.146695,0.989147,-0.008248,,,0.000000,,,,0.00,,,
63527,,,,,,,,,,,,,,-9.558564,-2.268076,-0.118527,0.081041,-0.070470,0.011407,0.989258,-0.132812,0.052734,-0.095583,-0.022689,-0.001214,,0.218227,-0.039908,-0.975082,-0.963658,0.148941,-0.221766,0.154080,0.988040,-0.005955,,,0.000000,,,,0.00,,,
63528,,,,,,,,,,,,,,-9.527553,-2.276034,-0.124286,0.094894,-0.084208,-0.017079,0.993408,-0.132812,0.054932,-0.095274,-0.022763,-0.001269,99923.0000,0.218333,-0.038978,-0.975096,-0.963913,0.147352,-0.221719,0.152324,0.988316,-0.005399,,,0.000000,,,,0.00,,,
63529,,,,,,,,,,,,,,-9.510363,-2.284075,-0.169914,0.098533,-0.136223,-0.031859,0.989258,-0.132812,0.050537,-0.095104,-0.022837,-0.001728,,0.218586,-0.038041,-0.975076,-0.964136,0.145731,-0.221819,0.150537,0.988593,-0.004822,,,0.000000,,,,0.00,,,
63530,,,,,,,,,,,,,,-9.494936,-2.227420,-0.167682,0.045687,-0.132106,-0.059545,0.991211,-0.128662,0.048096,-0.094950,-0.022267,-0.001707,99923.0000,0.218915,-0.037015,-0.975042,-0.964364,0.143964,-0.221983,0.148587,0.988890,-0.004180,,,0.000000,,,,0.00,,,
63531,,,,,,,,,,,,,,-9.497222,-2.156902,-0.172706,-0.026331,-0.133378,-0.073037,0.987061,-0.132812,0.046143,-0.094974,-0.021559,-0.001765,,0.219343,-0.035828,-0.974990,-0.964593,0.142042,-0.222224,0.146452,0.989212,-0.003404,,,0.000000,,,,0.00,,,
63532,,,,,,,,,,,,,,-9.552202,-2.167648,-0.205606,-0.036159,-0.172591,-0.017054,0.987061,-0.132812,0.050537,-0.095524,-0.021665,-0.002094,99921.0000,0.219813,-0.034609,-0.974928,-0.964841,0.139908,-0.222505,0.144101,0.989559,-0.002639,,,0.000000,,,,0.00,,,
63533,,,,,,,,,,,,,,-9.529419,-2.138684,-0.264697,-0.071134,-0.234665,-0.045716,0.982910,-0.132812,0.048340,-0.095296,-0.021375,-0.002687,,0.220313,-0.033366,-0.974858,-0.965092,0.137661,-0.222817,0.141634,0.989917,-0.001873,,,0.000000,,,,0.00,,,
63534,,,,,,,,,,,,,,-9.538902,-2.160013,-0.268940,-0.056916,-0.248932,-0.031919,0.987305,-0.136963,0.043945,-0.095391,-0.021587,-0.002728,99920.0000,0.220842,-0.032076,-0.974782,-0.965350,0.135279,-0.223156,0.139026,0.990288,-0.001089,,,0.000000,,,,0.00,,,
