// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
16051,,,,,,,,,,,,,,-2.851280,-9.203876,-2.498887,-0.018419,0.035030,0.141407,0.653564,0.626465,0.331543,-0.028500,-0.092039,-0.025002,,0.899023,-0.333551,-0.283729,-0.348561,-0.152871,-0.924735,0.265072,0.930255,-0.253697,,,0.000000,,,,0.00,,,
16052,,,,,,,,,,,,,,-2.843751,-9.204687,-2.474183,-0.003420,0.052713,0.133768,0.653809,0.624268,0.327148,-0.028428,-0.092047,-0.024753,99889.0000,0.899617,-0.331765,-0.283938,-0.348394,-0.153287,-0.924729,0.263269,0.930825,-0.253485,,,0.000000,,,,0.00,,,
16053,,,,,,,,,,,,,,-2.825095,-9.213994,-2.481502,0.015826,0.039236,0.138941,0.653564,0.626465,0.327148,-0.028242,-0.092140,-0.024825,,0.900187,-0.330076,-0.284101,-0.348220,-0.153754,-0.924717,0.261546,0.931348,-0.253347,,,0.000000,,,,0.00,,,
16054,,,,,,,,,,,,,,-2.839294,-9.174651,-2.418717,0.006663,0.093585,0.090706,0.653564,0.626465,0.333984,-0.028385,-0.091745,-0.024201,99894.0000,0.900773,-0.328313,-0.284287,-0.348018,-0.154106,-0.924735,0.259792,0.931913,-0.253074,,,0.000000,,,,0.00,,,
16055,,,,,,,,,,,,,,-2.858460,-9.220016,-2.409925,0.008009,0.113266,0.135897,0.658203,0.624268,0.320312,-0.028578,-0.092199,-0.024113,,0.901358,-0.326610,-0.284393,-0.347785,-0.154583,-0.924743,0.258068,0.932432,-0.252925,,,0.000000,,,,0.00,,,
16056,,,,,,,,,,,,,,-2.879502,-9.218515,-2.452079,-0.021995,0.077906,0.151182,0.658203,0.624268,0.322510,-0.028789,-0.092184,-0.024531,99890.0000,0.901970,-0.324805,-0.284521,-0.347539,-0.155035,-0.924760,0.256256,0.932988,-0.252719,,,0.000000,,,,0.00,,,
16057,,,,,,,,,,,,,,-2.861252,-9.204609,-2.484748,-0.018421,0.036300,0.141403,0.656006,0.622070,0.324951,-0.028607,-0.092045,-0.024859,,0.902619,-0.322886,-0.284647,-0.347252,-0.155459,-0.924796,0.254353,0.933583,-0.252443,,,0.000000,,,,0.00,,,
16058,,,,,,,,,,,,,,-2.903187,-9.186202,-2.463837,-0.056921,0.064491,0.131049,0.660400,0.626465,0.327148,-0.029027,-0.091862,-0.024645,99886.0000,0.903237,-0.321051,-0.284762,-0.347012,-0.156012,-0.924794,0.252480,0.934123,-0.252324,,,0.000000,,,,0.00,,,
16059,,,,,,,,,,,,,,-2.897166,-9.125224,-2.383035,-0.051678,0.128161,0.052557,0.658203,0.624268,0.313477,-0.028969,-0.091252,-0.023834,,0.903850,-0.319265,-0.284823,-0.346768,-0.156709,-0.924767,0.250612,0.934619,-0.252352,,,0.000000,,,,0.00,,,
16060,,,,,,,,,,,,,,-2.887467,-9.133465,-2.414550,-0.047430,0.096386,0.065377,0.651611,0.621826,0.318115,-0.028871,-0.091336,-0.024146,99889.0000,0.904494,-0.317364,-0.284904,-0.346518,-0.157429,-0.924738,0.248626,0.935145,-0.252366,,,0.000000,,,,0.00,,,
