// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
16051,,,,,,,,,,,,,,-9.585501,-0.350738,1.943258,-0.006280,-0.013274,-0.025917,0.767334,0.135010,-0.588867,-0.095855,-0.003510,0.019431,,-0.200954,-0.007599,-0.979571,0.217206,-0.975425,-0.036992,-0.955217,-0.220202,0.197666,,,0.000000,,,,0.00,,,
16052,,,,,,,,,,,,,,-9.623062,-0.385609,1.926228,0.010284,0.025463,0.008800,0.767578,0.128418,-0.584229,-0.096231,-0.003859,0.019259,99900.0000,-0.200996,-0.007669,-0.979562,0.217193,-0.975430,-0.036929,-0.955211,-0.220177,0.197723,,,0.000000,,,,0.00,,,
16053,,,,,,,,,,,,,,-9.589971,-0.368577,1.958785,-0.023272,0.003080,-0.017807,0.778320,0.132812,-0.584229,-0.095900,-0.003689,0.019585,,-0.201043,-0.007826,-0.979551,0.217149,-0.975446,-0.036775,-0.955211,-0.220102,0.197806,,,0.000000,,,,0.00,,,
16054,,,,,,,,,,,,,,-9.589881,-0.367959,1.959342,-0.023272,0.003080,-0.017807,0.769287,0.139160,-0.586670,-0.095899,-0.003683,0.019590,99899.0000,-0.201090,-0.007893,-0.979541,0.217121,-0.975454,-0.036713,-0.955207,-0.220062,0.197868,,,0.000000,,,,0.00,,,
16055,,,,,,,,,,,,,,-9.607198,-0.354352,1.971133,-0.027804,-0.012158,0.000990,0.771729,0.135010,-0.586670,-0.096072,-0.003548,0.019710,,-0.201102,-0.007954,-0.979538,0.217132,-0.975454,-0.036656,-0.955202,-0.220061,0.197893,,,0.000000,,,,0.00,,,
16056,,,,,,,,,,,,,,-9.623647,-0.361559,1.955594,-0.010974,-0.000503,0.014293,0.771973,0.130615,-0.590820,-0.096237,-0.003621,0.019553,99900.0000,-0.201139,-0.008073,-0.979529,0.217114,-0.975462,-0.036543,-0.955199,-0.220020,0.197957,,,0.000000,,,,0.00,,,
16057,,,,,,,,,,,,,,-9.589665,-0.365366,1.960886,-0.023233,0.003326,-0.017807,0.767334,0.136963,-0.584473,-0.095897,-0.003657,0.019606,,-0.201190,-0.008192,-0.979518,0.217058,-0.975479,-0.036425,-0.955201,-0.219940,0.198035,,,0.000000,,,,0.00,,,
16058,,,,,,,,,,,,,,-9.585849,-0.324588,1.974058,-0.027506,-0.038663,-0.020420,0.769775,0.130615,-0.586426,-0.095859,-0.003249,0.019740,99902.0000,-0.201188,-0.008265,-0.979518,0.217067,-0.975479,-0.036354,-0.955199,-0.219935,0.198049,,,0.000000,,,,0.00,,,
16059,,,,,,,,,,,,,,-9.606084,-0.372185,1.945591,-0.006349,0.015114,-0.004505,0.771973,0.130615,-0.584229,-0.096061,-0.003726,0.019453,,-0.201230,-0.008361,-0.979508,0.217046,-0.975487,-0.036264,-0.955195,-0.219896,0.198112,,,0.000000,,,,0.00,,,
16060,,,,,,,,,,,,,,-9.584855,-0.344237,1.947598,-0.006086,-0.011972,-0.025915,0.771973,0.130615,-0.584229,-0.095849,-0.003445,0.019473,99901.0000,-0.201271,-0.008431,-0.979499,0.217034,-0.975493,-0.036201,-0.955189,-0.219870,0.198169,,,0.000000,,,,0.00,,,
16061,,,,,,,,,,,,,,-9.602148,-0.330667,1.959453,-0.010554,-0.026164,-0.007115,0.771484,0.136963,-0.584473,-0.096022,-0.003311,0.019592,,-0.201309,-0.008581,-0.979490,0.216999,-0.975506,-0.036052,-0.955189,-0.219806,0.198241,,,0.000000,,,,0.00,,,
