// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
21428,,,,,,,,,,,,,,9.682888,0.634508,1.336806,0.000000,0.000000,-0.017383,-0.910645,0.263916,0.020020,0.096828,0.006345,0.013373,99854.0000,-0.116495,-0.096246,0.988517,0.902099,-0.426641,0.064771,0.415508,0.899285,0.136525,,,0.000000,,,,0.00,,,
21429,,,,,,,,,,,,,,9.694908,0.629231,1.303951,-0.002963,-0.022607,-0.010293,-0.914551,0.257324,0.024658,0.096949,0.006291,0.013044,,-0.115166,-0.095079,0.988785,0.900386,-0.430436,0.063480,0.419573,0.897600,0.135180,,,0.000000,,,,0.00,,,
21430,,,,,,,,,,,,,,9.708511,0.610814,1.311351,-0.017845,-0.008531,0.002991,-0.914551,0.255371,0.020264,0.097085,0.006107,0.013117,99854.0000,-0.115154,-0.094998,0.988795,0.900380,-0.430445,0.063502,0.419590,0.897604,0.135101,,,0.000000,,,,0.00,,,
21431,,,,,,,,,,,,,,9.708578,0.611018,1.310763,-0.018032,-0.007533,0.002991,-0.912598,0.259521,0.024658,0.097086,0.006109,0.013110,,-0.115177,-0.094846,0.988807,0.900357,-0.430481,0.063582,0.419632,0.897602,0.134977,,,0.000000,,,,0.00,,,
21432,,,,,,,,,,,,,,9.683235,0.635037,1.334039,0.016503,0.005871,-0.017399,-0.912598,0.261719,0.018066,0.096832,0.006351,0.013343,99854.0000,-0.115130,-0.094804,0.988816,0.900369,-0.430460,0.063561,0.419620,0.897617,0.134917,,,0.000000,,,,0.00,,,
21433,,,,,,,,,,,,,,9.715849,0.624222,1.328982,0.001323,0.003128,0.013479,-0.910400,0.261719,0.022461,0.097158,0.006245,0.013290,,-0.115093,-0.094805,0.988820,0.900347,-0.430513,0.063519,0.419678,0.897592,0.134906,,,0.000000,,,,0.00,,,
21434,,,,,,,,,,,,,,9.696859,0.615717,1.341744,0.001625,0.020049,-0.004117,-0.916748,0.257324,0.020264,0.096968,0.006159,0.013419,99848.0000,-0.115049,-0.094788,0.988827,0.900358,-0.430494,0.063489,0.419666,0.897602,0.134871,,,0.000000,,,,0.00,,,
21435,,,,,,,,,,,,,,9.703279,0.583353,1.330624,-0.032604,0.023778,-0.001324,-0.914795,0.259521,0.024658,0.097033,0.005834,0.013307,,-0.115030,-0.094748,0.988833,0.900349,-0.430513,0.063486,0.419690,0.897598,0.134828,,,0.000000,,,,0.00,,,
21436,,,,,,,,,,,,,,9.703305,0.583520,1.330357,-0.032604,0.023778,-0.001324,-0.912598,0.261719,0.022461,0.097033,0.005833,0.013305,99853.0000,-0.115057,-0.094702,0.988834,0.900353,-0.430498,0.063532,0.419675,0.897609,0.134797,,,0.000000,,,,0.00,,,
21437,,,,,,,,,,,,,,9.691418,0.589548,1.362004,-0.012904,0.051791,-0.008436,-0.914795,0.261719,0.020264,0.096914,0.005892,0.013622,,-0.115113,-0.094582,0.988839,0.900334,-0.430523,0.063631,0.419699,0.897611,0.134714,,,0.000000,,,,0.00,,,
