PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
21428,,,,,,,,,,,,,,-9.359837,-2.782939,0.528203,0.000000,-0.000000,-0.033613,0.839355,-0.092773,0.031494,-0.093600,-0.027826,0.005265,99854.0000,0.289063,-0.017498,-0.957150,-0.927510,0.242405,-0.284543,0.236997,0.970017,0.053841,,,0.000000,,,,0.00,,,
21429,,,,,,,,,,,,,,-9.337631,-2.701607,0.600526,-0.045501,0.126329,-0.074483,0.841309,-0.090576,0.040283,-0.093379,-0.027011,0.005984,,0.288681,-0.018425,-0.957248,-0.929637,0.233740,-0.284853,0.228995,0.972125,0.050348,,,0.000000,,,,0.00,,,
21430,,,,,,,,,,,,,,-9.291297,-2.704540,0.662141,-0.017552,0.180683,-0.114842,0.841064,-0.084229,0.035889,-0.092916,-0.027039,0.006599,99849.0000,0.288918,-0.017689,-0.957190,-0.929845,0.232773,-0.284966,0.227849,0.972370,0.050805,,,0.000000,,,,0.00,,,
21431,,,,,,,,,,,,,,-9.300762,-2.686657,0.716406,-0.026490,0.234303,-0.108052,0.837158,-0.090576,0.027100,-0.093009,-0.026865,0.007147,,0.289045,-0.017028,-0.957164,-0.930104,0.231698,-0.284995,0.226626,0.972639,0.051133,,,0.000000,,,,0.00,,,
21432,,,,,,,,,,,,,,-9.311873,-2.637751,0.698258,-0.080277,0.225958,-0.112236,0.839111,-0.088379,0.033691,-0.093120,-0.026376,0.006976,99854.0000,0.289108,-0.016564,-0.957153,-0.930376,0.230585,-0.285011,0.225426,0.972911,0.051253,,,0.000000,,,,0.00,,,
21433,,,,,,,,,,,,,,-9.356220,-2.666175,0.713092,-0.063234,0.233278,-0.060897,0.843262,-0.086426,0.031494,-0.093561,-0.026667,0.007126,,0.289018,-0.016099,-0.957188,-0.930685,0.229503,-0.284876,0.224264,0.973175,0.051347,,,0.000000,,,,0.00,,,
21434,,,,,,,,,,,,,,-9.417362,-2.612481,0.670762,-0.139506,0.204314,-0.019808,0.837158,-0.090576,0.029297,-0.094172,-0.026130,0.006704,99849.0000,0.288923,-0.015667,-0.957224,-0.930998,0.228392,-0.284746,0.223083,0.973443,0.051402,,,0.000000,,,,0.00,,,
21435,,,,,,,,,,,,,,-9.431290,-2.635880,0.618771,-0.131942,0.147281,-0.002444,0.843506,-0.092773,0.029297,-0.094311,-0.026368,0.006185,,0.288751,-0.015193,-0.957284,-0.931340,0.227260,-0.284533,0.221875,0.973716,0.051471,,,0.000000,,,,0.00,,,
21436,,,,,,,,,,,,,,-9.419354,-2.668393,0.587213,-0.103371,0.107864,-0.006207,0.841309,-0.092773,0.029297,-0.094191,-0.026695,0.005868,99860.0000,0.288560,-0.014703,-0.957349,-0.931705,0.226049,-0.284302,0.220588,0.974005,0.051530,,,0.000000,,,,0.00,,,
21437,,,,,,,,,,,,,,-9.411094,-2.699630,0.590071,-0.069089,0.101747,-0.005050,0.843506,-0.092773,0.031494,-0.094108,-0.027006,0.005896,,0.288365,-0.014123,-0.957416,-0.932094,0.224754,-0.284054,0.219195,0.974313,0.051647,,,0.000000,,,,0.00,,,
21438,,,,,,,,,,,,,,-9.365199,-2.790809,0.633371,0.039852,0.121735,-0.020838,0.837158,-0.092773,0.029297,-0.093651,-0.027912,0.006331,99854.0000,0.288305,-0.013579,-0.957442,-0.932477,0.223285,-0.283955,0.217638,0.974659,0.051712,,,0.000000,,,,0.00,,,
21439,,,,,,,,,,,,,,-9.365305,-2.790351,0.633811,0.040113,0.121144,-0.020832,0.835205,-0.094727,0.029297,-0.093653,-0.027904,0.006337,,0.288274,-0.013020,-0.957459,-0.932853,0.221801,-0.283882,0.216062,0.975005,0.051794,,,0.000000,,,,0.00,,,
21440,,,,,,,,,,,,,,-9.359062,-2.807779,0.617354,0.054399,0.101435,-0.022716,0.843506,-0.092773,0.033691,-0.093591,-0.028074,0.006177,99854.0000,0.288329,-0.012655,-0.957448,-0.933181,0.220354,-0.283934,0.214570,0.975338,0.051725,,,0.000000,,,,0.00,,,
21441,,,,,,,,,,,,,,-9.412003,-2.804041,0.628333,0.037554,0.113766,0.027480,0.845703,-0.090576,0.027100,-0.094121,-0.028036,0.006287,,0.288385,-0.012270,-0.957436,-0.933472,0.219065,-0.283974,0.213225,0.975633,0.051721,,,0.000000,,,,0.00,,,
21442,,,,,,,,,,,,,,-9.406830,-2.747301,0.678396,-0.003938,0.176192,0.008987,0.845703,-0.092773,0.029297,-0.094069,-0.027468,0.006790,99854.0000,0.288443,-0.012035,-0.957422,-0.933747,0.217793,-0.284048,0.211938,0.975921,0.051583,,,0.000000,,,,0.00,,,
21443,,,,,,,,,,,,,,-9.412845,-2.730963,0.693709,-0.018091,0.194844,0.010894,0.839111,-0.088379,0.029297,-0.094129,-0.027307,0.006940,,0.288461,-0.011641,-0.957421,-0.934025,0.216599,-0.284046,0.210683,0.976191,0.051608,,,0.000000,,,,0.00,,,
21444,,,,,,,,,,,,,,-9.453884,-2.670802,0.687329,-0.087529,0.202904,0.032753,0.836914,-0.088379,0.033691,-0.094538,-0.026709,0.006877,99858.0000,0.288422,-0.011350,-0.957436,-0.934323,0.215355,-0.284012,0.209412,0.976470,0.051509,,,0.000000,,,,0.00,,,
21445,,,,,,,,,,,,,,-9.427025,-2.664911,0.654705,-0.091381,0.170996,0.003707,0.834961,-0.088379,0.026855,-0.094269,-0.026652,0.006549,,0.288324,-0.010859,-0.957471,-0.934635,0.214178,-0.283876,0.208151,0.976734,0.051603,,,0.000000,,,,0.00,,,
21446,,,,,,,,,,,,,,-9.361834,-2.702703,0.610241,-0.045796,0.118487,-0.050269,0.839111,-0.090576,0.031494,-0.093617,-0.027031,0.006100,99852.0000,0.288248,-0.010395,-0.957499,-0.934958,0.212898,-0.283773,0.206799,0.977019,0.051649,,,0.000000,,,,0.00,,,
21447,,,,,,,,,,,,,,-9.334011,-2.770614,0.510884,0.006292,0.004143,-0.062764,0.841309,-0.092773,0.018066,-0.093339,-0.027710,0.005106,,0.288157,-0.009722,-0.957534,-0.935300,0.211606,-0.283614,0.205377,0.977307,0.051883,,,0.000000,,,,0.00,,,
21448,,,,,,,,,,,,,,-9.269611,-2.824369,0.518659,0.077091,-0.000598,-0.108780,0.841309,-0.090576,0.027100,-0.092696,-0.028244,0.005187,99852.0000,0.288164,-0.009281,-0.957536,-0.935623,0.210183,-0.283606,0.203890,0.977618,0.051883,,,0.000000,,,,0.00,,,
21449,,,,,,,,,,,,,,-9.281772,-2.880179,0.535265,0.129810,0.002692,-0.080453,0.839111,-0.086426,0.024658,-0.092817,-0.028804,0.005357,,0.288090,-0.008755,-0.957563,-0.935946,0.208889,-0.283496,0.202507,0.977900,0.051985,,,0.000000,,,,0.00,,,
21450,,,,,,,,,,,,,,-9.249806,-2.906657,0.537379,0.165209,0.000325,-0.103463,0.837158,-0.090576,0.027100,-0.092496,-0.029071,0.005385,99855.0000,0.287965,-0.008557,-0.957603,-0.936258,0.207616,-0.283402,0.201238,0.978173,0.051774,,,0.000000,,,,0.00,,,
21451,,,,,,,,,,,,,,-9.330147,-2.907448,0.578962,0.152136,0.042184,-0.024165,0.841064,-0.086426,0.026855,-0.093300,-0.029076,0.005803,,0.287903,-0.008241,-0.957624,-0.936558,0.206335,-0.283345,0.199927,0.978447,0.051686,,,0.000000,,,,0.00,,,
21452,,,,,,,,,,,,,,-9.326993,-2.907440,0.542181,0.146670,0.008453,-0.029110,0.845703,-0.092773,0.022705,-0.093268,-0.029078,0.005433,99861.0000,0.287804,-0.008037,-0.957656,-0.936863,0.205042,-0.283276,0.198636,0.978720,0.051483,,,0.000000,,,,0.00,,,
21453,,,,,,,,,,,,,,-9.339458,-2.873134,0.573341,0.117505,0.046146,-0.025289,0.843506,-0.090576,0.027100,-0.093393,-0.028734,0.005742,,0.287786,-0.007644,-0.957664,-0.937129,0.203870,-0.283242,0.197405,0.978968,0.051507,,,0.000000,,,,0.00,,,
21454,,,,,,,,,,,,,,-9.341562,-2.840045,0.501966,0.072537,-0.015630,-0.036333,0.843262,-0.084229,0.026855,-0.093415,-0.028402,0.005026,99861.0000,0.287733,-0.007402,-0.957682,-0.937389,0.202725,-0.283203,0.196242,0.979208,0.051392,,,0.000000,,,,0.00,,,
21455,,,,,,,,,,,,,,-9.344532,-2.822680,0.483125,0.051888,-0.031314,-0.039380,0.839355,-0.092773,0.031494,-0.093443,-0.028233,0.004836,,0.287684,-0.006996,-0.957700,-0.937618,0.201771,-0.283126,0.195217,0.979408,0.051486,,,0.000000,,,,0.00,,,
21456,,,,,,,,,,,,,,-9.332780,-2.855166,0.449115,0.080458,-0.070725,-0.043195,0.841064,-0.084229,0.029053,-0.093326,-0.028557,0.004494,99857.0000,0.287577,-0.006742,-0.957734,-0.937852,0.200829,-0.283021,0.194249,0.979603,0.051430,,,0.000000,,,,0.00,,,
