// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
21428,,,,,,,,,,,,,,-9.255978,3.141181,0.392324,0.000000,0.000000,-0.030353,0.916992,-0.059082,-0.338379,-0.092556,0.031422,0.003926,99921.0000,0.163921,-0.279141,-0.946155,0.582318,-0.746811,0.321215,-0.796264,-0.603617,0.040131,,,0.000000,,,,0.00,,,
21429,,,,,,,,,,,,,,-9.326710,3.133780,0.432601,-0.061959,0.013963,0.035724,0.915039,-0.061279,-0.344971,-0.093263,0.031350,0.004325,,0.166368,-0.279492,-0.945625,0.585197,-0.743865,0.322815,-0.793641,-0.607083,0.039803,,,0.000000,,,,0.00,,,
21430,,,,,,,,,,,,,,-9.381021,3.059158,0.449291,-0.125841,0.072972,0.063684,0.914795,-0.059082,-0.340576,-0.093807,0.030603,0.004487,99913.0000,0.166407,-0.279224,-0.945697,0.586026,-0.743311,0.322586,-0.793021,-0.607884,0.039941,,,0.000000,,,,0.00,,,
21431,,,,,,,,,,,,,,-9.402365,3.069638,0.402110,-0.082959,0.100385,0.085387,0.914551,-0.054932,-0.336426,-0.094020,0.030708,0.004010,,0.166379,-0.279140,-0.945727,0.586914,-0.742666,0.322459,-0.792370,-0.608710,0.040267,,,0.000000,,,,0.00,,,
21432,,,,,,,,,,,,,,-9.401924,2.990886,0.396632,-0.121189,0.162215,0.059389,0.912598,-0.056885,-0.334229,-0.094017,0.029917,0.003948,99911.0000,0.166317,-0.279035,-0.945769,0.587944,-0.741925,0.322286,-0.791619,-0.609661,0.040662,,,0.000000,,,,0.00,,,
21433,,,,,,,,,,,,,,-9.360338,2.964231,0.351516,-0.090350,0.198439,0.009665,0.916992,-0.059082,-0.338379,-0.093602,0.029649,0.003497,,0.166296,-0.278897,-0.945813,0.589048,-0.741127,0.322108,-0.790802,-0.610694,0.041038,,,0.000000,,,,0.00,,,
21434,,,,,,,,,,,,,,-9.298239,2.924593,0.429057,-0.160606,0.164845,-0.058631,0.912598,-0.056885,-0.336426,-0.092982,0.029251,0.004266,99913.0000,0.166187,-0.278928,-0.945823,0.590110,-0.740324,0.322011,-0.790033,-0.611654,0.041566,,,0.000000,,,,0.00,,,
21435,,,,,,,,,,,,,,-9.236740,2.962209,0.442649,-0.134248,0.113931,-0.104084,0.918945,-0.059082,-0.338379,-0.092367,0.029628,0.004402,,0.166041,-0.278979,-0.945833,0.591149,-0.739539,0.321908,-0.789287,-0.612578,0.042124,,,0.000000,,,,0.00,,,
21436,,,,,,,,,,,,,,-9.228821,2.927176,0.471663,-0.171924,0.121839,-0.121581,0.918945,-0.056885,-0.340820,-0.092287,0.029279,0.004693,99913.0000,0.165902,-0.278976,-0.945859,0.592176,-0.738779,0.321766,-0.788545,-0.613497,0.042638,,,0.000000,,,,0.00,,,
21437,,,,,,,,,,,,,,-9.239785,2.970962,0.419479,-0.101963,0.126302,-0.099302,0.919189,-0.059082,-0.342773,-0.092396,0.029717,0.004175,,0.165797,-0.278928,-0.945891,0.593236,-0.737997,0.321607,-0.787771,-0.614458,0.043113,,,0.000000,,,,0.00,,,
21438,,,,,,,,,,,,,,-9.280793,2.918282,0.389483,-0.112762,0.195758,-0.078718,0.914795,-0.061279,-0.338379,-0.092806,0.029191,0.003882,99913.0000,0.165850,-0.278733,-0.945939,0.594359,-0.737172,0.321425,-0.786912,-0.615536,0.043407,,,0.000000,,,,0.00,,,
