Time,Acc_XL,Acc_YL,Acc_ZL,Abs_left,VelInc_XL,VelInc_YL,VelInc_ZL,Velmag_L,Acc_XR,Acc_YR,Acc_ZR,Abs_Right,VelInc_XR,VelInc_YR,VelInc_ZR,Velmag_R
0,9.691649,-0.041828,1.682435,9.836686304,0.096916,-0.000425,0.016825,0.09836652,9.368456,2.873337,-0.640804,9.820115229,0.374724,0.114804,-0.026406,0.392804419
0.0125,9.678479,-0.074994,1.702596,9.82738078,0.096784,-0.000756,0.01703,0.098273776,9.392414,2.910427,-0.692879,9.857388466,0.09392,0.029104,-0.006986,0.098573898
0.025,9.693,-0.091583,1.711049,9.843288329,0.09693,-0.00092,0.01711,0.098432837,9.395957,2.866687,-0.600852,9.841896435,0.093956,0.028667,-0.006071,0.098419428
0.0375,9.620723,-0.123547,1.695556,9.769774053,0.096206,-0.001242,0.016961,0.097697556,9.366681,2.864225,-0.536523,9.809503287,0.093663,0.028641,-0.00543,0.098094594
0.05,9.60892,-0.087662,1.715915,9.761321247,0.096089,-0.000883,0.017162,0.097613574,9.366792,2.858555,-0.48942,9.805491369,0.093665,0.028584,-0.004961,0.098055029
0.0625,9.678328,-0.104934,1.699765,9.827016082,0.096782,-0.001055,0.017004,0.098270059,9.384486,2.847389,-0.512766,9.820342691,0.093843,0.028469,-0.005196,0.098203824
0.075,9.633882,-0.119687,1.67175,9.778586576,0.096338,-0.001206,0.016723,0.097786111,9.39072,2.92725,-0.537145,9.85103748,0.093904,0.029268,-0.005445,0.098510025
0.0875,9.662403,-0.066509,1.659092,9.804031897,0.096623,-0.000674,0.016596,0.098040225,9.416612,2.951241,-0.517025,9.88178728,0.094163,0.029507,-0.005252,0.098817595
0.1,9.611529,-0.099005,1.741825,9.768584649,0.096115,-0.000999,0.01742,0.097685964,9.394777,2.890854,-0.459016,9.840201594,0.093945,0.028904,-0.004677,0.098402127
0.1125,9.648847,-0.131953,1.678097,9.794573475,0.096487,-0.001329,0.016787,0.097945448,9.377952,2.903316,-0.405031,9.825440327,0.093777,0.029028,-0.004136,0.098254043
0.125,9.623164,-0.043277,1.689867,9.770507088,0.096231,-0.000443,0.016901,0.097704889,9.415089,2.83688,-0.381468,9.840594842,0.094149,0.028362,-0.003904,0.098405683
0.1375,9.652871,-0.042045,1.706964,9.802724745,0.096528,-0.000429,0.017074,0.098027345,9.428311,2.853378,-0.377948,9.857872946,0.094283,0.028522,-0.003871,0.098578767
